Date,Passengers_International
2002-10-01,9578435
2002-11-01,9016535
2002-12-01,10038794
2003-01-01,9726436
2003-02-01,8283372
2003-03-01,9538653
2003-04-01,8309305
2003-05-01,8801873
2003-06-01,10347900
2003-07-01,11705206
2003-08-01,11799672
2003-09-01,9454647
2003-10-01,9608358
2003-11-01,9481886
2003-12-01,10512547
2004-01-01,10252443
2004-02-01,9310317
2004-03-01,10976440
2004-04-01,10802022
2004-05-01,10971254
2004-06-01,12159514
2004-07-01,13502913
2004-08-01,13203566
2004-09-01,10570682
2004-10-01,10772177
2004-11-01,10174320
2004-12-01,11244427
2005-01-01,11387275
2005-02-01,9945067
2005-03-01,12479643
2005-04-01,11521174
2005-05-01,12164600
2005-06-01,13140061
2005-07-01,14421209
2005-08-01,13703334
2005-09-01,11325800
2005-10-01,11107586
2005-11-01,10580099
2005-12-01,11812574
2006-01-01,11724098
2006-02-01,10167275
2006-03-01,12707241
2006-04-01,12619137
2006-05-01,12610793
2006-06-01,13690835
2006-07-01,14912621
2006-08-01,14171796
2006-09-01,12010922
2006-10-01,11517228
2006-11-01,11222687
2006-12-01,12385958
2007-01-01,12072442
2007-02-01,10591580
2007-03-01,13247375
2007-04-01,12795517
2007-05-01,12972589
2007-06-01,14170877
2007-07-01,15470687
2007-08-01,15131296
2007-09-01,12332434
2007-10-01,12392938
2007-11-01,12023481
2007-12-01,13123756
2008-01-01,12794514
2008-02-01,11677400
2008-03-01,14221964
2008-04-01,12983854
2008-05-01,13628619
2008-06-01,14447504
2008-07-01,15488628
2008-08-01,15369492
2008-09-01,11759694
2008-10-01,11952515
2008-11-01,11288311
2008-12-01,12499216
2009-01-01,12075267
2009-02-01,10412676
2009-03-01,12508793
2009-04-01,12629805
2009-05-01,11806548
2009-06-01,13199636
2009-07-01,14953615
2009-08-01,14844821
2009-09-01,11659775
2009-10-01,11905529
2009-11-01,11093714
2009-12-01,12659154
2010-01-01,12393439
2010-02-01,10694165
2010-03-01,13279320
2010-04-01,12398700
2010-05-01,13380664
2010-06-01,14406776
2010-07-01,16026852
2010-08-01,15317926
2010-09-01,12599149
2010-10-01,12874707
2010-11-01,11651314
2010-12-01,12917451
2011-01-01,12668763
2011-02-01,10944610
2011-03-01,13473705
2011-04-01,13537152
2011-05-01,13935132
2011-06-01,14814672
2011-07-01,16623674
2011-08-01,15753438
2011-09-01,13220884
2011-10-01,13199913
2011-11-01,12156133
2011-12-01,13559050
2012-01-01,13206801
2012-02-01,11732944
2012-03-01,14387677
2012-04-01,13995377
2012-05-01,14291285
2012-06-01,15582335
2012-07-01,16969590
2012-08-01,16616643
2012-09-01,13791714
2012-10-01,13397785
2012-11-01,12763847
2012-12-01,14097885
2013-01-01,13768819
2013-02-01,12037584
2013-03-01,15188333
2013-04-01,14301619
2013-05-01,15353665
2013-06-01,16403199
2013-07-01,17748869
2013-08-01,17666442
2013-09-01,14256736
2013-10-01,14341721
2013-11-01,13167243
2013-12-01,15095548
2014-01-01,14692606
2014-02-01,12482600
2014-03-01,15604456
2014-04-01,15471267
2014-05-01,16274994
2014-06-01,17286267
2014-07-01,18784523
2014-08-01,18686900
2014-09-01,14985203
2014-10-01,14981228
2014-11-01,13730768
2014-12-01,15805756
2015-01-01,15467163
2015-02-01,13325293
2015-03-01,16342061
2015-04-01,16025595
2015-05-01,17115194
2015-06-01,18203199
2015-07-01,20215002
2015-08-01,19914264
2015-09-01,16111956
2015-10-01,16188843
2015-11-01,14838407
2015-12-01,16849733
2016-01-01,16480418
2016-02-01,14408737
2016-03-01,17371898
2016-04-01,16594195
2016-05-01,17868001
2016-06-01,19407251
2016-07-01,21426196
2016-08-01,20651294
2016-09-01,17159010
2016-10-01,16899804
2016-11-01,15634785
2016-12-01,17909391
2017-01-01,17477215
2017-02-01,14696109
2017-03-01,17875983
